9, 0, 21, 2.040743350982666, 0:00:02.040, 1, 1, 803, 0
9, 0, 21, 1.7846789360046387, 0:00:01.784, 0, 0, 729, 0
9, 0, 22, 2.003870725631714, 0:00:02.003, 7, 8, 1424, 0
9, 0, 22, 1.80751633644104, 0:00:01.807, 0, 0, 729, 0
9, 0, 22, 1.8149189949035645, 0:00:01.814, 0, 0, 729, 0
9, 0, 22, 1.804480791091919, 0:00:01.804, 0, 1, 728, 0
9, 0, 22, 1.8025619983673096, 0:00:01.802, 0, 0, 729, 0
9, 0, 22, 1.795469045639038, 0:00:01.795, 0, 0, 729, 0
9, 0, 22, 1.7980384826660156, 0:00:01.798, 0, 0, 729, 0
9, 0, 22, 2.208406925201416, 0:00:02.208, 9, 9, 2109, 0
9, 0, 22, 1.8719251155853271, 0:00:01.871, 3, 5, 1073, 0
9, 0, 22, 1.7800726890563965, 0:00:01.780, 0, 0, 729, 0
9, 0, 22, 1.784043550491333, 0:00:01.784, 0, 1, 728, 0
9, 0, 22, 1.8842597007751465, 0:00:01.884, 3, 4, 1047, 0
9, 0, 22, 1.8163611888885498, 0:00:01.816, 1, 2, 823, 0
9, 0, 22, 2.1891930103302, 0:00:02.189, 12, 14, 2239, 0
9, 0, 22, 1.7835395336151123, 0:00:01.783, 0, 0, 729, 0
9, 0, 22, 1.8139317035675049, 0:00:01.813, 0, 0, 729, 0
9, 0, 22, 1.803511142730713, 0:00:01.803, 0, 0, 729, 0
9, 0, 22, 1.7984235286712646, 0:00:01.798, 0, 0, 729, 0
9, 0, 22, 1.8025479316711426, 0:00:01.802, 0, 0, 729, 0
9, 0, 23, 1.8274171352386475, 0:00:01.827, 2, 3, 903, 0
9, 0, 23, 1.818939447402954, 0:00:01.818, 1, 3, 856, 0
9, 0, 23, 1.7855634689331055, 0:00:01.785, 0, 0, 729, 0
9, 0, 23, 1.835857629776001, 0:00:01.835, 5, 5, 1143, 0
9, 0, 23, 1.8823201656341553, 0:00:01.882, 2, 2, 996, 0
9, 0, 23, 1.813180685043335, 0:00:01.813, 1, 1, 840, 0
9, 0, 23, 2.1006054878234863, 0:00:02.100, 3, 3, 1243, 0
9, 0, 23, 1.7958064079284668, 0:00:01.795, 0, 0, 729, 0
9, 0, 23, 1.7928235530853271, 0:00:01.792, 0, 0, 729, 0
9, 0, 23, 1.8196582794189453, 0:00:01.819, 1, 1, 804, 0
9, 0, 23, 1.7985246181488037, 0:00:01.798, 0, 0, 729, 0
9, 0, 23, 1.808715581893921, 0:00:01.808, 2, 2, 908, 0
9, 0, 23, 1.7835094928741455, 0:00:01.783, 0, 0, 729, 0
9, 0, 23, 2.025087356567383, 0:00:02.025, 8, 9, 1534, 0
9, 0, 23, 1.9579429626464844, 0:00:01.957, 3, 8, 1212, 0
9, 0, 23, 1.812727928161621, 0:00:01.812, 1, 1, 773, 0
9, 0, 23, 1.8195104598999023, 0:00:01.819, 1, 1, 850, 0
9, 0, 23, 1.809126615524292, 0:00:01.809, 0, 0, 729, 0
9, 0, 23, 1.8582146167755127, 0:00:01.858, 3, 4, 1035, 0
9, 0, 23, 2.756446599960327, 0:00:02.756, 13, 15, 2974, 0
9, 0, 23, 1.8043832778930664, 0:00:01.804, 0, 0, 729, 0
9, 0, 23, 1.798476219177246, 0:00:01.798, 0, 0, 729, 0
9, 0, 23, 1.7823526859283447, 0:00:01.782, 0, 1, 728, 0
9, 0, 23, 1.9779069423675537, 0:00:01.977, 4, 6, 1293, 0
9, 0, 23, 1.9195547103881836, 0:00:01.919, 2, 4, 1064, 0
9, 0, 23, 1.8238446712493896, 0:00:01.823, 0, 0, 729, 0
9, 0, 23, 1.792569875717163, 0:00:01.792, 0, 0, 729, 0
9, 0, 23, 1.8418476581573486, 0:00:01.841, 1, 2, 866, 0
9, 0, 23, 1.870060682296753, 0:00:01.870, 2, 4, 1010, 0
9, 0, 23, 1.8191678524017334, 0:00:01.819, 0, 0, 729, 0
9, 0, 23, 1.7892203330993652, 0:00:01.789, 0, 0, 729, 0
9, 0, 23, 1.794651985168457, 0:00:01.794, 2, 2, 935, 0
9, 0, 23, 1.7418949604034424, 0:00:01.741, 0, 0, 729, 0
9, 0, 23, 1.8346965312957764, 0:00:01.834, 1, 2, 901, 0
9, 0, 23, 1.8628389835357666, 0:00:01.862, 3, 4, 1178, 0
9, 0, 23, 1.7543559074401855, 0:00:01.754, 0, 0, 729, 0
9, 0, 23, 1.7874536514282227, 0:00:01.787, 0, 0, 729, 0
9, 0, 23, 1.78902006149292, 0:00:01.789, 3, 4, 961, 0
9, 0, 23, 2.3237955570220947, 0:00:02.323, 8, 9, 1912, 0
9, 0, 23, 3.1339354515075684, 0:00:03.133, 38, 40, 6009, 0
9, 0, 23, 1.776209831237793, 0:00:01.776, 0, 0, 729, 0
9, 0, 23, 1.7967393398284912, 0:00:01.796, 1, 2, 804, 0
9, 0, 23, 1.7563142776489258, 0:00:01.756, 0, 0, 729, 0
9, 0, 23, 1.7588932514190674, 0:00:01.758, 0, 0, 729, 0
9, 0, 23, 1.7647337913513184, 0:00:01.764, 0, 2, 727, 0
9, 0, 23, 1.7908821105957031, 0:00:01.790, 0, 0, 729, 0
9, 0, 23, 1.7857108116149902, 0:00:01.785, 1, 3, 817, 0
9, 0, 23, 1.7612767219543457, 0:00:01.761, 0, 0, 729, 0
9, 0, 23, 1.7534923553466797, 0:00:01.753, 0, 0, 729, 0
9, 0, 23, 1.9947655200958252, 0:00:01.994, 7, 11, 1471, 0
