9, 2, 17, 0:00:01.995, 3, 2
9, 2, 17, 0:00:01.776, 3, 2
9, 2, 17, 0:00:01.803, 2, 1
9, 2, 17, 0:00:01.796, 3, 2
9, 2, 22, 0:00:01.729, 2, 1
9, 2, 17, 0:00:01.774, 2, 1
9, 2, 23, 0:00:01.729, 2, 1
9, 2, 23, 0:00:01.739, 2, 1
9, 2, 22, 0:00:01.734, 2, 1
9, 2, 17, 0:00:01.757, 2, 1
9, 2, 22, 0:00:01.736, 2, 1
9, 2, 21, 0:00:01.733, 2, 1
9, 2, 25, 0:00:01.704, 2, 1
9, 2, 17, 0:00:01.772, 2, 1
9, 2, 17, 0:00:01.781, 2, 1
9, 2, 23, 0:00:01.707, 2, 1
9, 2, 23, 0:00:01.733, 2, 1
9, 2, 17, 0:00:01.810, 2, 1
9, 2, 17, 0:00:01.773, 3, 2
9, 2, 24, 0:00:01.708, 2, 1
9, 2, 17, 0:00:01.719, 2, 1
9, 2, 23, 0:00:01.722, 2, 1
9, 2, 23, 0:00:01.729, 2, 1
9, 2, 23, 0:00:01.707, 2, 1
9, 2, 24, 0:00:01.633, 0, 1
9, 2, 17, 0:00:01.761, 2, 1
9, 2, 24, 0:00:01.707, 2, 1
9, 2, 25, 0:00:01.705, 2, 1
9, 2, 22, 0:00:01.744, 2, 1
9, 2, 17, 0:00:01.743, 2, 1
9, 2, 17, 0:00:01.759, 2, 1
9, 2, 17, 0:00:01.776, 2, 1
9, 2, 25, 0:00:01.742, 2, 1
9, 2, 23, 0:00:01.709, 2, 1
9, 2, 22, 0:00:01.690, 2, 1
9, 2, 23, 0:00:01.726, 2, 1
9, 2, 22, 0:00:01.746, 2, 1
9, 2, 17, 0:00:01.808, 2, 1
9, 2, 24, 0:00:01.717, 3, 2
9, 2, 22, 0:00:01.697, 3, 2
9, 2, 23, 0:00:01.736, 2, 1
9, 2, 17, 0:00:01.685, 2, 1
9, 2, 22, 0:00:01.719, 2, 1
9, 2, 17, 0:00:01.755, 2, 1
9, 2, 17, 0:00:01.730, 2, 1
9, 2, 17, 0:00:01.784, 2, 1
9, 2, 21, 0:00:01.762, 2, 1
9, 2, 17, 0:00:01.761, 3, 2
9, 2, 24, 0:00:01.744, 2, 1
9, 2, 17, 0:00:01.768, 3, 2
9, 2, 17, 0:00:01.767, 2, 1
9, 2, 23, 0:00:01.709, 2, 1
9, 2, 17, 0:00:01.769, 2, 1
9, 2, 17, 0:00:01.749, 2, 1
9, 2, 25, 0:00:01.726, 2, 1
9, 2, 17, 0:00:01.745, 3, 2
9, 2, 23, 0:00:01.738, 3, 2
9, 2, 22, 0:00:01.720, 2, 1
9, 2, 22, 0:00:01.737, 2, 1
9, 2, 21, 0:00:01.741, 2, 1
9, 2, 23, 0:00:01.730, 2, 1
9, 2, 21, 0:00:01.748, 2, 1
9, 2, 25, 0:00:01.722, 2, 1
9, 2, 24, 0:00:01.724, 2, 1
9, 2, 24, 0:00:01.730, 3, 2
9, 2, 23, 0:00:01.720, 2, 1
9, 2, 23, 0:00:01.715, 2, 1
9, 2, 22, 0:00:01.721, 2, 1
9, 2, 21, 0:00:01.765, 2, 1
9, 2, 25, 0:00:01.687, 2, 1
9, 2, 17, 0:00:01.743, 2, 1
9, 2, 17, 0:00:01.788, 3, 2
9, 2, 24, 0:00:01.660, 2, 1
9, 2, 22, 0:00:01.739, 2, 1
9, 2, 24, 0:00:01.731, 2, 1
9, 2, 22, 0:00:01.727, 2, 1
9, 2, 23, 0:00:01.692, 2, 1
9, 2, 23, 0:00:01.696, 2, 1
9, 2, 24, 0:00:01.753, 2, 1
9, 2, 24, 0:00:01.705, 2, 1
9, 2, 22, 0:00:01.725, 2, 1
9, 2, 23, 0:00:01.698, 2, 1
9, 2, 22, 0:00:01.761, 2, 1
9, 2, 23, 0:00:01.724, 3, 2
9, 2, 22, 0:00:01.738, 2, 1
9, 2, 23, 0:00:01.718, 2, 1
9, 2, 21, 0:00:01.733, 2, 1
9, 2, 21, 0:00:01.757, 2, 1
9, 2, 22, 0:00:01.731, 2, 1
9, 2, 21, 0:00:01.719, 2, 1
9, 2, 17, 0:00:01.747, 2, 1
