sudoku_size,strategy,initial_clauses,runtime,runtime_fmt,backtracks,branches,unit_clauses,multiple_solutions
4,0,6,0.0049381256103515625,0:00:00.004,0,0,58,False
4,0,6,0.0044710636138916016,0:00:00.004,0,0,58,False
4,0,6,0.0046939849853515625,0:00:00.004,0,0,58,False
4,0,4,0.004954814910888672,0:00:00.004,0,0,60,False
4,0,6,0.004623889923095703,0:00:00.004,0,0,58,False
4,0,4,0.004513978958129883,0:00:00.004,0,0,60,False
4,0,4,0.004477977752685547,0:00:00.004,0,0,60,False
4,0,4,0.004480123519897461,0:00:00.004,0,0,60,False
4,0,6,0.004450082778930664,0:00:00.004,0,0,58,False
4,0,6,0.004333972930908203,0:00:00.004,0,0,58,False
4,0,6,0.0043451786041259766,0:00:00.004,0,0,58,False
4,0,6,0.004399776458740234,0:00:00.004,0,0,58,False
4,0,6,0.007127046585083008,0:00:00.007,0,0,58,False
4,0,4,0.0056591033935546875,0:00:00.005,0,0,60,False
4,0,4,0.005347013473510742,0:00:00.005,0,0,60,False
4,0,6,0.0051038265228271484,0:00:00.005,0,0,58,False
4,0,4,0.004937887191772461,0:00:00.004,0,0,60,False
4,0,4,0.004409074783325195,0:00:00.004,0,0,60,False
4,0,6,0.0054972171783447266,0:00:00.005,0,0,58,False
4,0,4,0.00441288948059082,0:00:00.004,0,0,60,False
4,0,6,0.004386186599731445,0:00:00.004,0,0,58,False
4,0,4,0.004169940948486328,0:00:00.004,0,0,60,False
4,0,4,0.004185914993286133,0:00:00.004,0,0,60,False
4,0,4,0.005399227142333984,0:00:00.005,0,0,60,False
4,0,4,0.004645109176635742,0:00:00.004,0,0,60,False
4,0,6,0.004397869110107422,0:00:00.004,0,0,58,False
4,0,6,0.0044138431549072266,0:00:00.004,0,0,58,False
4,0,6,0.004427909851074219,0:00:00.004,0,0,58,False
4,0,4,0.00646519660949707,0:00:00.006,0,0,60,False
4,0,4,0.0048029422760009766,0:00:00.004,0,0,60,False
4,0,4,0.005315065383911133,0:00:00.005,0,0,60,False
4,0,4,0.004305124282836914,0:00:00.004,0,0,60,False
4,0,4,0.004485130310058594,0:00:00.004,0,0,60,False
4,0,6,0.004284858703613281,0:00:00.004,0,0,58,False
4,0,6,0.004333019256591797,0:00:00.004,0,0,58,False
4,0,4,0.004560947418212891,0:00:00.004,0,0,60,False
4,0,6,0.005561113357543945,0:00:00.005,0,0,58,False
4,0,4,0.004485130310058594,0:00:00.004,0,0,60,False
4,0,4,0.00457310676574707,0:00:00.004,0,0,60,False
4,0,6,0.004538774490356445,0:00:00.004,0,0,58,False
4,0,4,0.00443720817565918,0:00:00.004,0,0,60,False
4,0,4,0.00467371940612793,0:00:00.004,0,0,60,False
4,0,4,0.004428863525390625,0:00:00.004,0,0,60,False
4,0,6,0.0043828487396240234,0:00:00.004,0,0,58,False
4,0,4,0.0043048858642578125,0:00:00.004,0,0,60,False
