9, 4, 17, 2239.91805768013, 0:37:19.918, 65850, 65871, 9489003, False
9, 4, 17, 6477.157249689102, 1:47:57.157, 186482, 186518, 27071714, False
9, 4, 17, 2715.58248090744, 0:45:15.582, 79792, 79827, 11505985, False
9, 4, 17, 6482.2337737083435, 1:48:02.233, 176386, 176417, 26008879, False
9, 4, 17, 4006.9820425510406, 1:06:46.982, 110443, 110465, 16394864, False
9, 4, 17, 1881.6437051296234, 0:31:21.643, 63753, 63799, 8513770, False
9, 4, 17, 675.711724281311, 0:11:15.711, 23379, 23386, 3091093, False
9, 4, 17, 828.7707715034485, 0:13:48.770, 24343, 24407, 3515520, False
9, 4, 17, 517.1146850585938, 0:08:37.114, 16962, 16982, 2301104, False
9, 4, 17, 984.0228536128998, 0:16:24.022, 28678, 28739, 4138266, False
9, 4, 17, 214.77151560783386, 0:03:34.771, 8133, 8190, 1012280, False
9, 4, 25, 40.73273205757141, 0:00:40.732, 1597, 1616, 194372, False
9, 4, 21, 529.6685121059418, 0:08:49.668, 19042, 19069, 2508833, False
9, 4, 17, 384.38640904426575, 0:06:24.386, 11410, 11458, 1639923, False
9, 4, 17, 214.0915927886963, 0:03:34.091, 7330, 7368, 979344, False
9, 4, 17, 471.62903594970703, 0:07:51.629, 18278, 18316, 2278827, False
9, 4, 22, 24.346773624420166, 0:00:24.346, 743, 774, 101939, False
