9, 0, 17, 3.463597059249878, 0:00:03.463, 35, 39, 4600, 0
9, 0, 17, 1.8463337421417236, 0:00:01.846, 5, 7, 1087, 0
9, 0, 17, 3.2492544651031494, 0:00:03.249, 23, 25, 4242, 0
9, 0, 17, 2.779625177383423, 0:00:02.779, 16, 18, 3205, 0
9, 0, 17, 3.6946475505828857, 0:00:03.694, 28, 31, 5616, 0
9, 0, 17, 5.840259790420532, 0:00:05.840, 44, 46, 9979, 0
9, 0, 17, 2.636795997619629, 0:00:02.636, 10, 13, 2846, 0
9, 0, 17, 1.8042421340942383, 0:00:01.804, 6, 7, 1307, 0
9, 0, 17, 2.806004524230957, 0:00:02.806, 11, 14, 3216, 0
9, 0, 17, 2.535081624984741, 0:00:02.535, 10, 13, 2581, 0
9, 0, 17, 2.0385658740997314, 0:00:02.038, 6, 10, 1447, 0
9, 0, 17, 2.5549228191375732, 0:00:02.554, 16, 20, 2743, 0
9, 0, 17, 6.433537006378174, 0:00:06.433, 125, 128, 15212, 0
9, 0, 17, 2.6402900218963623, 0:00:02.640, 19, 23, 2387, 0
9, 0, 17, 1.759568691253662, 0:00:01.759, 2, 3, 969, 0
9, 0, 17, 1.633814811706543, 0:00:01.633, 0, 1, 728, 0
9, 0, 17, 1.6325137615203857, 0:00:01.632, 0, 1, 728, 0
9, 0, 17, 2.026884078979492, 0:00:02.026, 7, 8, 1721, 0
9, 0, 17, 1.830937147140503, 0:00:01.830, 4, 7, 1104, 0
9, 0, 17, 14.138327836990356, 0:00:14.138, 148, 149, 26780, 0
9, 0, 17, 1.8343791961669922, 0:00:01.834, 3, 7, 1121, 0
9, 0, 17, 2.044219493865967, 0:00:02.044, 8, 10, 1506, 0
9, 0, 17, 1.750105857849121, 0:00:01.750, 3, 3, 1021, 0
9, 0, 17, 2.0100364685058594, 0:00:02.010, 8, 10, 1741, 0
9, 0, 17, 4.1197826862335205, 0:00:04.119, 58, 58, 8075, 0
9, 0, 17, 1.6664164066314697, 0:00:01.666, 0, 0, 729, 0
9, 0, 17, 6.904368162155151, 0:00:06.904, 127, 127, 15526, 0
9, 0, 17, 1.6417126655578613, 0:00:01.641, 0, 0, 729, 0
9, 0, 17, 2.2834274768829346, 0:00:02.283, 19, 22, 2919, 0
9, 0, 17, 11.255521535873413, 0:00:11.255, 226, 228, 27830, 0
9, 0, 17, 1.6456096172332764, 0:00:01.645, 2, 2, 853, 0
9, 0, 17, 1.6451890468597412, 0:00:01.645, 0, 1, 728, 0
9, 0, 17, 2.166594982147217, 0:00:02.166, 16, 20, 2279, 0
9, 0, 17, 4.580138206481934, 0:00:04.580, 74, 77, 10343, 0
9, 0, 17, 2.1595306396484375, 0:00:02.159, 7, 9, 1537, 0
9, 1, 17, 540.7385561466217, 0:09:00.738, 18835, 18836, 2489323, 0
9, 1, 17, 20.571786165237427, 0:00:20.571, 638, 697, 87262, 0
9, 1, 17, 1859.9796018600464, 0:30:59.979, 59802, 59812, 8215338, 0
9, 1, 17, 307.3542437553406, 0:05:07.354, 9566, 9602, 1333761, 0
9, 1, 17, 739.3086264133453, 0:12:19.308, 22160, 22185, 3143379, 0
9, 1, 17, 17.437213897705078, 0:00:17.437, 495, 569, 70634, 0
9, 1, 17, 488.10680317878723, 0:08:08.106, 14140, 14193, 2024760, 0
9, 1, 17, 2299.8335428237915, 0:38:19.833, 69830, 69874, 9946211, 0
9, 1, 17, 1257.672681093216, 0:20:57.672, 35831, 35862, 5174751, 0
9, 1, 17, 13.487909078598022, 0:00:13.487, 360, 434, 51689, 0
9, 1, 17, 100.97571301460266, 0:01:40.975, 2942, 2982, 425548, 0
9, 1, 17, 583.5426599979401, 0:09:43.542, 18284, 18312, 2540483, 0
